id,idn,year,top1share,wages,minwage,sstran,totheal,tmedcv,ud,unioncent,cent,wcoord,epl,cgewap2,pop,plt15,po65,gdpncu,gdppp,govexp,leftseat,smr_adult_male_wbi,smr_adult_female_wbi,smr_under5_wbi,gini_net_v2,lifexp_wbi,smr_trans_who,smr_falls_who
1,1,1960,7.09,,6,3.849405399312405,649.9,76,50.17292785,4,,3,.3,6.168,10275,3103.6,874.9,17265,25312.9,21.58034154314377,36.9,200.002,115.945,24.9,,70.81707317073172,,
1,1,1961,7.1,,6,4.279982166740972,725.5229299,76,49.47181009,4,.418542148,3,.3,6.545,10508.2,3185,894.6,17389,25585.9,23.08292465448061,37.9,198.798,109.193,24.3,,70.97317073170733,,
1,1,1962,7.23,4.48441222678145,6,4.102246959389817,745.4789809,76,49.52106174,4,,3,.3,6.43,10700.5,3215.4,913.6,18470,28203.9,22.45413316841888,49.2,203.462,112.52,23.7,,70.94243902439025,,
1,1,1963,7.36,4.66267745211316,6,4.095913416682217,814.8,78,49.16341327,4,.414225303,3,.3,6.243,10906.9,3263,933,20180,30696.5,22.72345586863221,48.5,202.321,115.744,23.2,,70.91170731707319,,
1,1,1964,6.84,4.94512365328807,6,3.909588104597505,922.5281106,80,48.19296375,4,,3,.3,6.661,11121.6,3316.2,948.1,22099,33040.3,23.25243548111434,41,209.649,118.397,22.7,,70.88097560975611,,
1,1,1965,6.69,5.26461197920724,6,3.943089430894309,1021.371429,82,47.8863461,4,.424335388,3,.3,6.681,11340.9,3360,966.3,23797,34846.9,25.54878048780488,41,207.719,118.821,22.4,,70.85024390243903,,
1,1,1966,6.47,5.53316738357991,7,3.81584707427404,1055.8,83,45.83517292,4,,3,.3,6.986,11599.5,3419.71,986.266,25506,38666.2,25.35750766087845,40.3,206.017,119.572,22.1,,70.81951219512196,,
1,1,1967,6.58,5.89895836547569,7,3.684978453394863,1224.043266,84,45.02021403,4,.500408561,3,.3,7.088,11799.08,3455.245,999.604,28176,41431.4,26.09005462997523,33.1,206.312,117.181,22,26.402189,70.86926829268293,,
1,1,1968,6.38,6.26011908173214,7,3.552946161062857,1357.775092,83,44.78983834,4,,3,.3,7.148,12008.63,3486.418,1014.01,30737,46967.4,25.01588838785824,33.1,209.074,116.936,21.9,26.485388,70.91902439024392,,
1,1,1969,6.25,6.79491475770412,7,3.545242123922327,1523.43,83,44.37794217,4,.506441447,3,.3,6.954,12263.01,3546.56,1026.694,34676,52672.3,24.4541132866006,35.5,206.54,112.951,21.7,24.851736,70.96878048780488,,
